IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program
childB	familyX	founder3	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688124	0.7887	2.2623	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder4	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688012	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder5	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689474	0.3442	1.8841	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder6	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689404	0.5200	2.0152	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder7	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688687	0.0137	1.4568	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder8	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688137	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder9	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688254	0.8296	2.3167	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	childD	OT	0	0.7691	0.2309	0.0000	0.1154	-1	0.716362	0.9558	2.6182	8	no_deam	HA	plink_Lcmlkin
childC	familyX	childE	OT	0	0.7683	0.2317	0.0000	0.1159	-1	0.716840	0.9982	3.2340	8	no_deam	HA	plink_Lcmlkin
childC	familyX	childF	OT	0	0.7548	0.2452	0.0000	0.1226	-1	0.715777	0.9954	3.0612	8	no_deam	HA	plink_Lcmlkin
childC	familyX	childG	OT	0	0.0089	0.9911	0.0000	0.4956	-1	0.803463	1.0000	198.0000	8	no_deam	PO	1	plink_Lcmlkin
childC	familyX	childH	OT	0	0.8037	0.1706	0.0257	0.1110	-1	0.720020	0.9775	2.7547	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	childI	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.695265	0.0199	1.4875	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687200	0.0019	1.3256	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder10	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687135	0.8949	2.4310	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder11	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.686045	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder12	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688640	0.0730	1.6184	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder13	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688835	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder14	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688109	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder15	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687905	0.9775	2.7547	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder16	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688757	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder17	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687509	0.6372	2.1094	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder18	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688635	0.6372	2.1094	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder19	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689037	0.0284	1.5190	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder1	OT	0	0.0097	0.9903	0.0000	0.4951	-1	0.803240	1.0000	NA	8	no_deam	PO	1	plink_Lcmlkin
childC	familyX	founder20	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689060	0.9558	2.6182	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder21	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.686984	0.0962	1.6533	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder22	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689245	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder23	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687010	0.5200	2.0152	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder24	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688042	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder25	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687405	0.0284	1.5190	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder26	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688404	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
