IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childE	familyX	founder10	OT	0	1.0	0.0	0.0	0.0	-1	0.687665	0.52	2.0152	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder11	OT	0	1.0	0.0	0.0	0.0	-1	0.688115	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder12	OT	0	1.0	0.0	0.0	0.0	-1	0.68862	0.7887	2.2623	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder13	OT	0	1.0	0.0	0.0	0.0	-1	0.687365	0.8949	2.431	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder14	OT	0	1.0	0.0	0.0	0.0	-1	0.688194	0.073	1.6184	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder15	OT	0	1.0	0.0	0.0	0.0	-1	0.687305	0.6919	2.1587	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder16	OT	0	1.0	0.0	0.0	0.0	-1	0.688057	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder17	OT	0	1.0	0.0	0.0	0.0	-1	0.688934	0.0137	1.4568	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder18	OT	0	1.0	0.0	0.0	0.0	-1	0.688885	0.7887	2.2623	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder19	OT	0	1.0	0.0	0.0	0.0	-1	0.688562	0.9558	2.6182	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder20	OT	0	1.0	0.0	0.0	0.0	-1	0.68927	0.8296	2.3167	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder21	OT	0	1.0	0.0	0.0	0.0	-1	0.688054	0.6372	2.1094	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder22	OT	0	1.0	0.0	0.0	0.0	-1	0.687945	0.52	2.0152	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder23	OT	0	1.0	0.0	0.0	0.0	-1	0.687	0.7887	2.2623	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder24	OT	0	1.0	0.0	0.0	0.0	-1	0.689677	0.9399	2.5536	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder25	OT	0	1.0	0.0	0.0	0.0	-1	0.687745	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder26	OT	0	1.0	0.0	0.0	0.0	-1	0.687799	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder27	OT	0	1.0	0.0	0.0	0.0	-1	0.68724	0.8649	2.3729	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder28	OT	0	1.0	0.0	0.0	0.0	-1	0.68806	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder29	OT	0	1.0	0.0	0.0	0.0	-1	0.689025	0.9198	2.4912	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder2	OT	0	1.0	0.0	0.0	0.0	-1	0.686487	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder3	OT	0	1.0	0.0	0.0	0.0	-1	0.687357	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder5	OT	0	1.0	0.0	0.0	0.0	-1	0.689432	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder6	OT	0	1.0	0.0	0.0	0.0	-1	0.689487	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder7	OT	0	1.0	0.0	0.0	0.0	-1	0.688795	0.6919	2.1587	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder8	OT	0	1.0	0.0	0.0	0.0	-1	0.688275	0.6372	2.1094	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childE	familyX	founder9	OT	0	1.0	0.0	0.0	0.0	-1	0.687487	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder10	OT	0	1.0	0.0	0.0	0.0	-1	0.687347	0.8949	2.431	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder11	OT	0	1.0	0.0	0.0	0.0	-1	0.688032	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder12	OT	0	1.0	0.0	0.0	0.0	-1	0.690177	0.8296	2.3167	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder13	OT	0	1.0	0.0	0.0	0.0	-1	0.687562	0.6372	2.1094	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder14	OT	0	1.0	0.0	0.0	0.0	-1	0.688781	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder15	OT	0	1.0	0.0	0.0	0.0	-1	0.688472	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder16	OT	0	1.0	0.0	0.0	0.0	-1	0.686909	0.3442	1.8841	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder17	OT	0	1.0	0.0	0.0	0.0	-1	0.689581	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder18	OT	0	1.0	0.0	0.0	0.0	-1	0.688987	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder19	OT	0	1.0	0.0	0.0	0.0	-1	0.687964	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder20	OT	0	1.0	0.0	0.0	0.0	-1	0.690387	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder21	OT	0	1.0	0.0	0.0	0.0	-1	0.689951	0.7887	2.2623	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder22	OT	0	1.0	0.0	0.0	0.0	-1	0.687967	0.3442	1.8841	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder23	OT	0	1.0	0.0	0.0	0.0	-1	0.688767	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder24	OT	0	1.0	0.0	0.0	0.0	-1	0.689409	0.0199	1.4875	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder25	OT	0	1.0	0.0	0.0	0.0	-1	0.688262	0.8296	2.3167	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder26	OT	0	1.0	0.0	0.0	0.0	-1	0.687931	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder27	OT	0	1.0	0.0	0.0	0.0	-1	0.688307	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder28	OT	0	1.0	0.0	0.0	0.0	-1	0.688222	0.6919	2.1587	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder29	OT	0	1.0	0.0	0.0	0.0	-1	0.689367	0.7887	2.2623	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder2	OT	0	1.0	0.0	0.0	0.0	-1	0.687624	0.0962	1.6533	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder3	OT	0	1.0	0.0	0.0	0.0	-1	0.688544	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childF	familyX	founder5	OT	0	1.0	0.0	0.0	0.0	-1	0.689709	0.8949	2.431	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
