a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childE	childF	99408	0.256726	0.500871	0.242398	0.0	4e-06	0.0	1e-06	0.0	0.0	0.492837	1e-06	4e-06	0.246419	0.0	2e-06	0.242399	0.0	0.242399	0.492839	-0.0	-160536.838247	66	-1	1.0	4.010734e-01,1.212578e-01,1.064298e-02,1.212486e-01,2.397599e-01,3.652692e-02,9.166029e-03,3.417029e-02,2.615407e-02	0.08262	0.719972	0.252474	-163367.60487	5	20	no_deam	FS	1	ngsrelateWithRealFreq	0.005881839876546567
childA	childB	91969	0.281509	0.470347	0.248137	0.0	1e-06	6e-06	0.0	0.0	0.0	0.483311	6e-06	1e-06	0.241656	0.0	0.0	0.248137	0.0	0.248137	0.483315	3e-06	-141186.04922	98	-1	0.929759	3.991574e-01,1.233650e-01,8.878075e-03,1.230951e-01,2.408628e-01,3.327749e-02,1.201776e-02,3.314055e-02,2.620582e-02	0.086754	0.721634	0.250529	-143210.804851	18	2	no_deam	FS	1	ngsrelateWithRealFreq	0.02500392141911611
childE	childF	91938	0.26352	0.496258	0.240139	5.6e-05	2.6e-05	0.0	0.0	0.0	0.0	0.488288	0.0	8.3e-05	0.244147	0.0	1.3e-05	0.240139	0.0	0.240139	0.488323	-2.8e-05	-141351.264032	74	-1	0.929446	3.992071e-01,1.208111e-01,1.074789e-02,1.237221e-01,2.395051e-01,3.735521e-02,9.267030e-03,3.298456e-02,2.639989e-02	0.083568	0.71518	0.251265	-143437.277898	19	2	no_deam	FS	1	ngsrelateWithRealFreq	0.009900038467938726
childA	childB	99395	0.26699	0.488026	0.244983	0.0	0.0	0.0	0.0	1e-06	0.0	0.488996	1e-06	1e-06	0.244498	0.0	0.0	0.244984	0.0	0.244984	0.488997	-0.0	-160441.15514	70	-1	1.0	4.018188e-01,1.212234e-01,9.173618e-03,1.226830e-01,2.389384e-01,3.421343e-02,1.118613e-02,3.491489e-02,2.584827e-02	0.085209	0.716684	0.250621	-163194.944552	6	10	no_deam	FS	1	ngsrelateWithRealFreq	0.01234513487168123
childE	childF	99395	0.256881	0.50071	0.242402	0.0	6e-06	0.0	0.0	0.0	0.0	0.492762	0.0	7e-06	0.246382	0.0	3e-06	0.242402	0.0	0.242402	0.492764	-0.0	-160537.571211	66	-1	1.0	4.010289e-01,1.211770e-01,1.060141e-02,1.212755e-01,2.396534e-01,3.655890e-02,9.237081e-03,3.422539e-02,2.624242e-02	0.08278	0.719517	0.252322	-163375.388111	6	10	no_deam	FS	1	ngsrelateWithRealFreq	0.0059324493255315785
childA	childB	99408	0.265949	0.490495	0.243524	0.0	1.5e-05	1e-05	6e-06	0.0	0.0	0.488788	1.6e-05	1.5e-05	0.244397	3e-06	8e-06	0.243524	0.0	0.243525	0.488798	5e-06	-161655.129764	58	-1	0.99997	4.002498e-01,1.217649e-01,9.199967e-03,1.232471e-01,2.401663e-01,3.413215e-02,1.085461e-02,3.478580e-02,2.559935e-02	0.083503	0.719094	0.251878	-164398.291513	6	8	deam	FS	1	ngsrelateWithRealFreq	0.011352741254868794
childE	childF	99410	0.257431	0.500528	0.242037	0.0	3e-06	0.0	0.0	0.0	0.0	0.492304	1e-06	4e-06	0.246153	1e-06	2e-06	0.242038	0.0	0.242038	0.492305	-0.0	-161874.295641	162	-1	0.99999	3.996022e-01,1.215455e-01,1.051059e-02,1.215437e-01,2.408984e-01,3.656175e-02,9.180519e-03,3.410983e-02,2.604754e-02	0.08174	0.722438	0.253302	-164722.025312	6	8	deam	FS	1	ngsrelateWithRealFreq	0.006295710550313874
childA	childB	99395	0.267823	0.491991	0.240184	0.0	1e-06	0.0	0.0	0.0	0.0	0.486181	1e-06	2e-06	0.24309	0.0	1e-06	0.240184	0.0	0.240184	0.486181	-0.0	-165484.214896	50	-1	0.999909	3.961729e-01,1.227726e-01,8.944413e-03,1.244204e-01,2.426830e-01,3.433974e-02,1.088690e-02,3.472668e-02,2.505344e-02	0.081717	0.722076	0.253261	-168162.525995	7	4	deam	FS	1	ngsrelateWithRealFreq	0.012624807140441114
childE	childF	99393	0.257477	0.503295	0.239224	0.0	3e-06	0.0	0.0	0.0	0.0	0.490874	0.0	3e-06	0.245438	0.0	2e-06	0.239225	0.0	0.239225	0.490875	-0.0	-165682.683729	50	-1	0.999889	3.955102e-01,1.225584e-01,1.036821e-02,1.225994e-01,2.433269e-01,3.640574e-02,8.984344e-03,3.430051e-02,2.594635e-02	0.079533	0.72588	0.254975	-168524.062315	7	4	deam	FS	1	ngsrelateWithRealFreq	0.00780778948657473
childA	childB	89590	0.274352	0.499407	0.226236	0.0	3e-06	0.0	2e-06	0.0	0.0	0.475943	3e-06	3e-06	0.237972	1e-06	2e-06	0.226236	0.0	0.226236	0.475945	0.0	-144637.676402	59	-1	0.904566	3.919711e-01,1.268044e-01,8.791828e-03,1.273333e-01,2.416645e-01,3.415573e-02,1.027959e-02,3.386982e-02,2.512981e-02	0.078917	0.708206	0.252667	-146478.088306	18	1	deam	FS	1	ngsrelateWithRealFreq	0.019647724626531183
childE	childF	89729	0.269783	0.498177	0.231973	3.4e-05	2.8e-05	4e-06	0.0	1e-06	0.0	0.481083	5e-06	6.3e-05	0.240545	0.0	1.4e-05	0.231974	0.0	0.231974	0.48111	-1.5e-05	-144746.158507	42	-1	0.905969	3.926932e-01,1.248583e-01,1.009339e-02,1.237350e-01,2.446393e-01,3.702822e-02,9.127795e-03,3.287227e-02,2.495264e-02	0.07857	0.724396	0.255266	-146765.963293	18	1	deam	FS	1	ngsrelateWithRealFreq	0.015488308999586316
childA	childB	99408	0.266835	0.488142	0.245002	1e-06	5e-06	1.5e-05	1e-06	0.0	0.0	0.489077	1.6e-05	5e-06	0.244539	0.0	2e-06	0.245002	0.0	0.245002	0.489086	7e-06	-160451.113426	58	-1	1.0	4.017778e-01,1.212455e-01,9.216524e-03,1.228215e-01,2.390607e-01,3.412317e-02,1.108562e-02,3.489694e-02,2.577231e-02	0.084925	0.717062	0.250827	-163199.989933	5	20	deam	FS	1	ngsrelateWithRealFreq	0.012233960833134393
childE	childF	99407	0.256708	0.500966	0.242298	1e-06	2.6e-05	0.0	1e-06	0.0	0.0	0.492801	1e-06	2.7e-05	0.246404	1e-06	1.3e-05	0.242298	0.0	0.242298	0.492809	-1e-06	-160544.268391	63	-1	0.99999	4.011019e-01,1.213201e-01,1.066585e-02,1.212137e-01,2.397930e-01,3.656626e-02,9.134147e-03,3.412235e-02,2.608276e-02	0.082571	0.720051	0.252511	-163368.17422	5	20	deam	FS	1	ngsrelateWithRealFreq	0.005923152989188549
childA	childB	98506	0.276203	0.484395	0.239399	0.0	0.0	1e-06	0.0	1e-06	0.0	0.481597	2e-06	3e-06	0.240799	0.0	0.0	0.2394	0.0	0.239401	0.481599	0.0	-167093.831061	46	-1	0.992254	3.935937e-01,1.241387e-01,8.915926e-03,1.248262e-01,2.439256e-01,3.426927e-02,1.119167e-02,3.413137e-02,2.500759e-02	0.082433	0.7228	0.252988	-169509.978254	14	2	deam	FS	1	ngsrelateWithRealFreq	0.018641302127265665
childE	childF	98585	0.265005	0.497517	0.237476	0.0	0.0	0.0	0.0	1e-06	0.0	0.486235	1e-06	1e-06	0.243117	0.0	0.0	0.237478	0.0	0.237478	0.486236	0.0	-167670.405581	78	-1	0.99305	3.926051e-01,1.237715e-01,1.042372e-02,1.235900e-01,2.441436e-01,3.648122e-02,9.064328e-03,3.378077e-02,2.613980e-02	0.079822	0.724222	0.254578	-170234.386404	11	2	deam	FS	1	ngsrelateWithRealFreq	0.011374912307354285
childA	childB	99409	0.266465	0.488959	0.244525	0.0	4.1e-05	0.0	1e-05	0.0	0.0	0.489043	1e-05	4.1e-05	0.244528	5e-06	2e-05	0.244525	0.0	0.244525	0.489056	0.0	-161139.478204	82	-1	0.99997	4.010919e-01,1.216138e-01,9.166730e-03,1.229288e-01,2.396891e-01,3.412454e-02,1.099978e-02,3.474305e-02,2.564222e-02	0.084136	0.718542	0.251462	-163876.607474	5	10	deam	FS	1	ngsrelateWithRealFreq	0.011873998638481771
childE	childF	99412	0.257198	0.500472	0.242293	0.0	3.1e-05	0.0	3e-06	3e-06	0.0	0.492554	5e-06	3.4e-05	0.246281	1e-06	1.6e-05	0.242296	0.0	0.242296	0.492566	0.0	-161209.215438	62	-1	1.0	4.001653e-01,1.214108e-01,1.053272e-02,1.214082e-01,2.404802e-01,3.632978e-02,9.214817e-03,3.436721e-02,2.609100e-02	0.082117	0.721592	0.252978	-164050.804989	5	10	deam	FS	1	ngsrelateWithRealFreq	0.006094583305416913
