a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childD	childF	99395	0.800927	0.19907	0.0	0.0	0.0	0.0	0.0	1e-06	2e-06	0.099537	2e-06	2e-06	0.049769	2e-06	2e-06	1e-06	2e-06	2e-06	0.099538	-0.0	-173166.690114	230	-1	1.0	3.106960e-01,1.825807e-01,2.883570e-02,1.880316e-01,1.719172e-01,3.550011e-02,3.284093e-02,4.054966e-02,9.048000e-03	0.358758	0.338194	0.061435	-178469.41443	6	10	no_deam	FC	3	ngsrelateWithRealFreq	0.04158294613981391
childD	childE	99410	0.802131	0.197559	0.000307	0.0	0.0	0.0	0.0	0.0	3e-06	0.099089	3e-06	3e-06	0.049546	3e-06	3e-06	0.000307	3e-06	0.000309	0.099089	-0.0	-174514.567425	170	-1	0.99999	3.091472e-01,1.844328e-01,2.752234e-02,1.887129e-01,1.750286e-01,3.344134e-02,3.371394e-02,3.965620e-02,8.344578e-03	0.349864	0.344898	0.066	-179126.942698	6	8	deam	FC	3	ngsrelateWithRealFreq	0.042691895760983346
childD	childF	99409	0.802613	0.197375	7e-06	0.0	0.0	0.0	0.0	1e-06	4e-06	0.098699	4e-06	4e-06	0.049351	4e-06	4e-06	8e-06	4e-06	1.1e-05	0.098699	-0.0	-174398.160073	122	-1	0.99998	3.092254e-01,1.830442e-01,2.883474e-02,1.886495e-01,1.731899e-01,3.534175e-02,3.239180e-02,4.040596e-02,8.916795e-03	0.353523	0.340477	0.063915	-179678.395161	5	8	deam	FC	3	ngsrelateWithRealFreq	0.04296323406122962
childD	childE	99397	0.803231	0.195759	0.001006	0.0	0.0	0.0	0.0	2e-06	1e-06	0.098887	3e-06	4e-06	0.049444	1e-06	1e-06	0.001008	1e-06	0.001009	0.098889	-0.0	-177932.170074	122	-1	0.99993	3.054408e-01,1.850540e-01,2.723924e-02,1.896265e-01,1.781209e-01,3.361635e-02,3.301986e-02,3.957542e-02,8.306901e-03	0.338305	0.350541	0.071635	-182498.043846	7	4	deam	FC	3	ngsrelateWithRealFreq	0.043881041760651045
childD	childF	99392	0.800615	0.199282	9.2e-05	0.0	0.0	1e-05	0.0	0.0	0.0	0.099733	1e-05	1e-06	0.049867	0.0	0.0	9.2e-05	0.0	9.2e-05	0.099739	5e-06	-177805.620764	38	-1	0.999879	3.056415e-01,1.838413e-01,2.829026e-02,1.893683e-01,1.764564e-01,3.553633e-02,3.176560e-02,4.021926e-02,8.880967e-03	0.340344	0.346658	0.070266	-183019.673038	10	4	deam	FC	3	ngsrelateWithRealFreq	0.041369079487784906
childD	childE	89763	0.808162	0.1887	0.003134	0.0	0.0	0.0	0.0	0.0	3e-06	0.097487	3e-06	3e-06	0.048745	3e-06	3e-06	0.003134	3e-06	0.003137	0.097487	-0.0	-152153.300337	146	-1	0.906312	3.023905e-01,1.863666e-01,2.638365e-02,1.924680e-01,1.804774e-01,3.290612e-02,3.236582e-02,3.891639e-02,7.725564e-03	0.325523	0.354289	0.077597	-155265.793093	22	1	deam	FC	3	ngsrelateWithRealFreq	0.04882052232412105
childD	childF	89727	0.799978	0.199989	3e-05	0.0	0.0	0.0	0.0	0.0	3e-06	0.100027	3e-06	3e-06	0.050015	3e-06	3e-06	3e-05	3e-06	3.3e-05	0.100027	-0.0	-151803.351236	110	-1	0.905949	3.025247e-01,1.847481e-01,2.796469e-02,1.912951e-01,1.788308e-01,3.567011e-02,3.041384e-02,4.021413e-02,8.338488e-03	0.326446	0.350438	0.076673	-155511.509731	18	1	deam	FC	3	ngsrelateWithRealFreq	0.040820344212986075
childD	childE	99407	0.801912	0.197893	0.000191	0.0	0.0	0.0	0.0	0.0	3e-06	0.099141	3e-06	3e-06	0.049572	3e-06	3e-06	0.000191	3e-06	0.000195	0.099141	-0.0	-173299.308892	371	-1	0.99999	3.105663e-01,1.839153e-01,2.768424e-02,1.885071e-01,1.737664e-01,3.337169e-02,3.401225e-02,3.989615e-02,8.280603e-03	0.355054	0.342473	0.063505	-177885.536639	5	20	deam	FC	3	ngsrelateWithRealFreq	0.04246579672316689
childD	childF	99408	0.801749	0.198201	4.9e-05	0.0	0.0	0.0	0.0	0.0	2e-06	0.099151	2e-06	2e-06	0.049577	2e-06	2e-06	4.9e-05	2e-06	5.1e-05	0.099151	-0.0	-173218.032224	98	-1	1.0	3.105481e-01,1.827887e-01,2.882397e-02,1.881288e-01,1.720639e-01,3.545829e-02,3.277459e-02,4.037998e-02,9.033649e-03	0.357998	0.338472	0.061788	-178529.436217	5	20	deam	FC	3	ngsrelateWithRealFreq	0.04227330837538035
childD	childE	98577	0.805747	0.192378	0.001875	0.0	0.0	0.0	0.0	0.0	0.0	0.098064	0.0	0.0	0.049032	0.0	0.0	0.001875	0.0	0.001875	0.098064	0.0	-178337.84743	114	-1	0.992969	3.035208e-01,1.856337e-01,2.737422e-02,1.898874e-01,1.797540e-01,3.332725e-02,3.291514e-02,3.948207e-02,8.105463e-03	0.335399	0.353415	0.073251	-182411.106995	10	2	deam	FC	3	ngsrelateWithRealFreq	0.046301686499161845
childD	childF	98585	0.804901	0.194978	0.000118	0.0	0.0	0.0	0.0	0.0	4e-06	0.09761	4e-06	4e-06	0.048807	4e-06	4e-06	0.000118	4e-06	0.000121	0.09761	-0.0	-177970.030809	182	-1	0.99305	3.033599e-01,1.845953e-01,2.862769e-02,1.900138e-01,1.773264e-01,3.562678e-02,3.171791e-02,3.994366e-02,8.788596e-03	0.340308	0.347341	0.070369	-182632.347448	10	2	deam	FC	3	ngsrelateWithRealFreq	0.04487595573355512
childD	childE	99411	0.802168	0.197558	0.000271	0.0	0.0	0.0	0.0	0.0	3e-06	0.099053	3e-06	3e-06	0.049528	3e-06	3e-06	0.000272	3e-06	0.000275	0.099054	-0.0	-173848.987233	170	-1	0.99999	3.097681e-01,1.840693e-01,2.779021e-02,1.885568e-01,1.743646e-01,3.349237e-02,3.375967e-02,3.982430e-02,8.374680e-03	0.352995	0.343581	0.064511	-178480.134108	5	10	deam	FC	3	ngsrelateWithRealFreq	0.04270728676701435
childD	childF	99411	0.802095	0.197901	0.0	0.0	0.0	0.0	0.0	0.0	4e-06	0.098954	4e-06	4e-06	0.049479	4e-06	4e-06	0.0	4e-06	4e-06	0.098954	-0.0	-173742.319798	2206	-1	0.99999	3.097925e-01,1.831451e-01,2.868875e-02,1.883137e-01,1.727794e-01,3.532245e-02,3.264292e-02,4.038281e-02,8.932382e-03	0.354971	0.339785	0.06322	-179016.257638	5	10	deam	FC	3	ngsrelateWithRealFreq	0.04253702240793699
