a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program
childF	childG	98606	0.934734	0.063073	0.002189	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.033729	0.000004	0.000004	0.016867	0.000004	0.000004	0.002189	0.000004	0.002193	0.033729	-0.000000	-178568.421981	66	-1	0.993301	2.923439e-01,1.945991e-01,3.868709e-02,1.901489e-01,1.730507e-01,3.884495e-02,3.250303e-02,3.284693e-02,6.975278e-03	0.411383	0.327977	0.038217	-183847.844796	11	2	deam	HC	4	ngsrelateWithRealFreq
childD	childG	99408	0.904804	0.095124	0.000067	0.000000	0.000000	0.000001	0.000002	0.000001	0.000001	0.047631	0.000005	0.000003	0.023817	0.000002	0.000001	0.000068	0.000001	0.000069	0.047633	0.000000	-174957.787859	70	-1	0.999980	2.968084e-01,1.886168e-01,3.613036e-02,1.878794e-01,1.684052e-01,4.028189e-02,3.469068e-02,3.765780e-02,9.529504e-03	0.420540	0.320615	0.033824	-181765.371805	5	10	deam	HC	4	ngsrelateWithRealFreq
childE	childG	99409	0.926580	0.073135	0.000273	0.000010	0.000000	0.000000	0.000000	0.000000	0.000001	0.036842	0.000001	0.000012	0.018422	0.000001	0.000001	0.000273	0.000001	0.000274	0.036847	-0.000005	-174573.314772	66	-1	0.999990	2.975223e-01,1.949160e-01,3.937466e-02,1.894327e-01,1.689117e-01,4.004408e-02,3.242129e-02,3.085355e-02,6.523683e-03	0.425050	0.320490	0.031926	-179758.763573	5	10	deam	HC	4	ngsrelateWithRealFreq
childF	childG	99409	0.934745	0.064638	0.000616	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.032936	0.000001	0.000001	0.016468	0.000001	0.000001	0.000616	0.000001	0.000617	0.032936	-0.000000	-174532.490052	62	-1	0.999990	2.974779e-01,1.940908e-01,3.930067e-02,1.884991e-01,1.680834e-01,3.943756e-02,3.339948e-02,3.250703e-02,7.204107e-03	0.432524	0.318802	0.028687	-180403.302601	5	10	deam	HC	4	ngsrelateWithRealFreq
childD	childG	99378	0.905696	0.094130	0.000147	0.000008	0.000002	0.000010	0.000001	0.000001	0.000006	0.047220	0.000018	0.000016	0.023613	0.000006	0.000007	0.000148	0.000006	0.000154	0.047230	0.000001	-174282.564190	50	-1	0.999970	2.979797e-01,1.880449e-01,3.642124e-02,1.873249e-01,1.675723e-01,4.061955e-02,3.490435e-02,3.782601e-02,9.307092e-03	0.425641	0.319100	0.031587	-181082.506344	6	8	no_deam	HC	4	ngsrelateWithRealFreq
childE	childG	99379	0.927154	0.072724	0.000121	0.000001	0.000000	0.000000	0.000000	0.000000	0.000001	0.036483	0.000001	0.000001	0.018242	0.000001	0.000001	0.000121	0.000001	0.000122	0.036484	-0.000000	-173865.740320	66	-1	0.999980	2.982447e-01,1.945927e-01,3.970687e-02,1.894834e-01,1.679002e-01,4.000181e-02,3.248272e-02,3.095008e-02,6.637408e-03	0.429955	0.318465	0.029742	-179060.658068	6	8	no_deam	HC	4	ngsrelateWithRealFreq
childF	childG	99380	0.934181	0.065695	0.000050	0.000073	0.000000	0.000000	0.000000	0.000000	0.000001	0.032899	0.000001	0.000074	0.016450	0.000001	0.000001	0.000050	0.000001	0.000051	0.032935	-0.000036	-173768.701548	62	-1	0.999990	2.982678e-01,1.936530e-01,3.971886e-02,1.885327e-01,1.672113e-01,3.933394e-02,3.339848e-02,3.258614e-02,7.297904e-03	0.437275	0.317155	0.026602	-179623.575477	6	8	no_deam	HC	4	ngsrelateWithRealFreq
childD	childG	98855	0.907424	0.092480	0.000087	0.000001	0.000006	0.000000	0.000000	0.000001	0.000001	0.046332	0.000002	0.000009	0.023167	0.000001	0.000004	0.000088	0.000001	0.000089	0.046336	-0.000001	-171139.727406	82	-1	0.996060	2.981405e-01,1.884656e-01,3.642696e-02,1.877676e-01,1.668336e-01,4.063395e-02,3.525962e-02,3.726569e-02,9.206446e-03	0.429689	0.317283	0.029780	-177474.719880	10	4	no_deam	HC	4	ngsrelateWithRealFreq
childE	childG	98881	0.926241	0.073607	0.000108	0.000032	0.000008	0.000000	0.000000	0.000000	0.000003	0.036921	0.000003	0.000043	0.018463	0.000003	0.000007	0.000108	0.000003	0.000111	0.036939	-0.000016	-170708.110629	66	-1	0.996322	2.987312e-01,1.945054e-01,3.953339e-02,1.900042e-01,1.671753e-01,4.040630e-02,3.242933e-02,3.088257e-02,6.332330e-03	0.430463	0.316763	0.029425	-175528.358173	10	4	no_deam	HC	4	ngsrelateWithRealFreq
childF	childG	98885	0.931981	0.067386	0.000629	0.000003	0.000000	0.000000	0.000000	0.000000	0.000001	0.034323	0.000001	0.000004	0.017162	0.000001	0.000001	0.000629	0.000001	0.000630	0.034325	-0.000001	-170736.658701	78	-1	0.996363	2.986007e-01,1.929048e-01,3.962267e-02,1.892012e-01,1.666871e-01,3.949464e-02,3.350761e-02,3.281435e-02,7.166970e-03	0.438728	0.315967	0.025929	-176164.941117	10	4	no_deam	HC	4	ngsrelateWithRealFreq
childD	childG	68324	0.909396	0.089852	0.000712	0.000014	0.000000	0.000013	0.000001	0.000000	0.000013	0.045651	0.000026	0.000027	0.022832	0.000013	0.000013	0.000712	0.000013	0.000725	0.045665	-0.000001	-101388.544843	66	-1	0.694455	2.946513e-01,1.899907e-01,3.710617e-02,1.915372e-01,1.680091e-01,3.855131e-02,3.422183e-02,3.750732e-02,8.425093e-03	0.424548	0.317649	0.031947	-104229.029413	26	1	no_deam	HC	4	ngsrelateWithRealFreq
childE	childG	68432	0.937431	0.062501	0.000001	0.000065	0.000000	0.000000	0.000000	0.000000	0.000002	0.031253	0.000002	0.000067	0.015628	0.000002	0.000002	0.000001	0.000002	0.000003	0.031286	-0.000032	-101289.661659	82	-1	0.695553	2.965340e-01,1.953545e-01,4.021014e-02,1.916391e-01,1.686056e-01,3.910753e-02,3.215308e-02,3.124014e-02,5.155941e-03	0.429186	0.318301	0.030054	-103496.777663	30	1	no_deam	HC	4	ngsrelateWithRealFreq
childF	childG	68549	0.947179	0.052707	0.000108	0.000000	0.000004	0.000000	0.000000	0.000000	0.000001	0.026466	0.000001	0.000006	0.013234	0.000001	0.000003	0.000108	0.000001	0.000110	0.026467	-0.000000	-101238.910639	90	-1	0.696742	2.949300e-01,1.966691e-01,3.796532e-02,1.921517e-01,1.677405e-01,4.053336e-02,3.345917e-02,3.108627e-02,5.464524e-03	0.425803	0.315382	0.031274	-103749.820125	30	1	no_deam	HC	4	ngsrelateWithRealFreq
childD	childG	99408	0.904797	0.095140	0.000061	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.047632	0.000001	0.000001	0.023816	0.000000	0.000000	0.000061	0.000000	0.000062	0.047632	-0.000000	-174429.993552	62	-1	1.000000	2.977021e-01,1.882345e-01,3.634518e-02,1.875909e-01,1.676385e-01,4.035798e-02,3.482603e-02,3.777838e-02,9.526382e-03	0.424552	0.319231	0.032051	-181264.549575	5	20	no_deam	HC	4	ngsrelateWithRealFreq
childE	childG	99408	0.927230	0.072449	0.000319	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.036545	0.000002	0.000001	0.018273	0.000001	0.000001	0.000319	0.000001	0.000320	0.036545	0.000000	-173983.943075	66	-1	1.000000	2.984167e-01,1.948010e-01,3.975523e-02,1.893436e-01,1.681890e-01,4.000605e-02,3.235888e-02,3.066135e-02,6.468271e-03	0.428768	0.319189	0.030284	-179122.694529	5	20	no_deam	HC	4	ngsrelateWithRealFreq
childF	childG	99408	0.934784	0.064464	0.000703	0.000049	0.000001	0.000000	0.000000	0.000000	0.000000	0.032935	0.000000	0.000050	0.016468	0.000000	0.000001	0.000703	0.000000	0.000703	0.032960	-0.000024	-173904.158617	58	-1	1.000000	2.981652e-01,1.937829e-01,3.954298e-02,1.885261e-01,1.672756e-01,3.938322e-02,3.342783e-02,3.259295e-02,7.303215e-03	0.436231	0.317257	0.027045	-179800.039833	5	20	no_deam	HC	4	ngsrelateWithRealFreq
childD	childG	91922	0.913249	0.086542	0.000008	0.000188	0.000004	0.000008	0.000000	0.000000	0.000002	0.043283	0.000009	0.000193	0.021643	0.000002	0.000004	0.000008	0.000002	0.000010	0.043382	-0.000090	-149965.140201	58	-1	0.929284	2.954967e-01,1.884274e-01,3.698546e-02,1.886562e-01,1.677372e-01,4.153768e-02,3.520811e-02,3.735139e-02,8.599803e-03	0.430397	0.317584	0.029503	-154964.019408	17	2	no_deam	HC	4	ngsrelateWithRealFreq
childE	childG	91890	0.930023	0.066690	0.003121	0.000158	0.000006	0.000000	0.000000	0.000000	0.000001	0.036472	0.000001	0.000165	0.018237	0.000001	0.000004	0.003121	0.000001	0.003122	0.036553	-0.000079	-149553.376731	54	-1	0.928961	2.952555e-01,1.946313e-01,4.060189e-02,1.917620e-01,1.696937e-01,3.954506e-02,3.159217e-02,3.016357e-02,6.754737e-03	0.425437	0.321210	0.031811	-153299.444780	18	2	no_deam	HC	4	ngsrelateWithRealFreq
childF	childG	92049	0.945277	0.054356	0.000333	0.000005	0.000004	0.000009	0.000008	0.000002	0.000005	0.027525	0.000024	0.000017	0.013767	0.000009	0.000007	0.000334	0.000005	0.000339	0.027537	0.000002	-149980.213659	66	-1	0.930568	2.950001e-01,1.958372e-01,4.071932e-02,1.890045e-01,1.657327e-01,3.914050e-02,3.440440e-02,3.327113e-02,6.890070e-03	0.453282	0.311307	0.019633	-154215.800591	18	2	no_deam	HC	4	ngsrelateWithRealFreq
childD	childG	99395	0.904874	0.095017	0.000051	0.000050	0.000000	0.000007	0.000000	0.000000	0.000001	0.047560	0.000008	0.000051	0.023780	0.000001	0.000001	0.000051	0.000001	0.000051	0.047589	-0.000021	-174425.930725	58	-1	1.000000	2.977289e-01,1.880897e-01,3.630226e-02,1.874111e-01,1.675975e-01,4.043308e-02,3.497745e-02,3.795448e-02,9.505575e-03	0.425303	0.319131	0.031731	-181263.162346	6	10	no_deam	HC	4	ngsrelateWithRealFreq
childE	childG	99395	0.927118	0.072698	0.000172	0.000002	0.000002	0.000004	0.000002	0.000000	0.000003	0.036526	0.000008	0.000006	0.018265	0.000004	0.000003	0.000172	0.000003	0.000175	0.036530	0.000001	-173976.168073	70	-1	1.000000	2.984166e-01,1.946524e-01,3.974033e-02,1.892593e-01,1.681604e-01,4.006092e-02,3.244185e-02,3.082745e-02,6.440732e-03	0.429246	0.319101	0.030079	-179117.635153	6	10	no_deam	HC	4	ngsrelateWithRealFreq
