a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childA	childC	99407	0.534688	0.465274	3e-05	0.0	0.0	0.0	0.0	3e-06	6e-06	0.232672	9e-06	9e-06	0.116339	6e-06	6e-06	3.3e-05	6e-06	3.8e-05	0.232675	-0.0	-172070.976493	90	-1	0.99996	3.356636e-01,1.734499e-01,2.203905e-02,1.696784e-01,1.819004e-01,4.603528e-02,1.855290e-02,3.996309e-02,1.271739e-02	0.223155	0.387254	0.127019	-176687.437875	5	8	deam	HS	2	ngsrelateWithRealFreq	0.028338156373812803
childB	childC	99408	0.543188	0.45672	6.6e-05	4e-06	5e-06	1.6e-05	1e-06	0.0	0.0	0.228432	1.7e-05	9e-06	0.114217	1e-06	3e-06	6.7e-05	0.0	6.7e-05	0.228443	6e-06	-172274.331309	50	-1	0.99997	3.354799e-01,1.762336e-01,2.258283e-02,1.699425e-01,1.804754e-01,4.633788e-02,1.846313e-02,3.860855e-02,1.187619e-02	0.227432	0.382227	0.12421	-176449.893701	5	8	deam	HS	2	ngsrelateWithRealFreq	0.035300453727017914
childA	childC	99390	0.532184	0.467761	5.5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.233936	0.0	0.0	0.116968	0.0	0.0	5.5e-05	0.0	5.5e-05	0.233936	-0.0	-175386.43713	210	-1	0.999859	3.323476e-01,1.737714e-01,2.154368e-02,1.707078e-01,1.852395e-01,4.577217e-02,1.800000e-02,4.019180e-02,1.242609e-02	0.213473	0.394138	0.132537	-179900.756793	9	4	deam	HS	2	ngsrelateWithRealFreq	0.02630060837065688
childB	childC	99399	0.545127	0.454858	1.3e-05	0.0	0.0	0.0	0.0	0.0	2e-06	0.227444	2e-06	2e-06	0.113723	2e-06	2e-06	1.3e-05	2e-06	1.5e-05	0.227444	0.0	-175680.196814	90	-1	0.99995	3.320014e-01,1.767877e-01,2.239209e-02,1.709515e-01,1.836430e-01,4.590288e-02,1.806308e-02,3.879600e-02,1.146231e-02	0.220293	0.388339	0.12846	-179722.702993	9	4	deam	HS	2	ngsrelateWithRealFreq	0.036852166204987206
childA	childC	89717	0.549309	0.450648	3.7e-05	0.0	0.0	0.0	0.0	1e-06	5e-06	0.225366	6e-06	6e-06	0.112686	5e-06	5e-06	3.8e-05	5e-06	4.3e-05	0.225367	0.0	-150266.616493	102	-1	0.905848	3.299134e-01,1.763361e-01,2.177921e-02,1.728277e-01,1.845031e-01,4.542793e-02,1.781425e-02,3.939560e-02,1.200274e-02	0.214595	0.389592	0.131154	-153380.697976	15	1	deam	HS	2	ngsrelateWithRealFreq	0.04027819407570307
childB	childC	89724	0.559419	0.440571	5e-06	0.0	0.0	0.0	0.0	0.0	5e-06	0.220296	5e-06	5e-06	0.11015	5e-06	5e-06	5e-06	5e-06	1e-05	0.220296	0.0	-150365.928669	110	-1	0.905919	3.299365e-01,1.780701e-01,2.251174e-02,1.725205e-01,1.835185e-01,4.592291e-02,1.804499e-02,3.876228e-02,1.071251e-02	0.220995	0.385679	0.127637	-153183.829351	18	1	deam	HS	2	ngsrelateWithRealFreq	0.04851949308267761
childA	childC	99408	0.533785	0.466195	1.6e-05	0.0	0.0	0.0	0.0	1e-06	4e-06	0.233117	5e-06	5e-06	0.116561	4e-06	4e-06	1.6e-05	4e-06	2e-05	0.233118	-0.0	-170924.891018	94	-1	1.0	3.369644e-01,1.730463e-01,2.222762e-02,1.690533e-01,1.806992e-01,4.625464e-02,1.869080e-02,4.004880e-02,1.301489e-02	0.226445	0.385022	0.125174	-175600.661452	5	20	deam	HS	2	ngsrelateWithRealFreq	0.02759350470672398
childB	childC	99408	0.543054	0.456925	1.1e-05	1e-06	3e-06	0.0	0.0	0.0	5e-06	0.228481	6e-06	9e-06	0.114244	5e-06	7e-06	1.2e-05	5e-06	1.7e-05	0.228483	-0.0	-171083.230569	70	-1	1.0	3.367482e-01,1.759957e-01,2.293500e-02,1.695298e-01,1.791478e-01,4.653039e-02,1.843142e-02,3.864926e-02,1.203244e-02	0.230907	0.379493	0.122199	-175277.493116	5	20	deam	HS	2	ngsrelateWithRealFreq	0.035162018628059455
childA	childC	98552	0.543443	0.456495	5.8e-05	0.0	0.0	0.0	0.0	1e-06	4e-06	0.228309	4e-06	4e-06	0.114156	4e-06	4e-06	5.9e-05	4e-06	6.3e-05	0.22831	0.0	-175599.634272	142	-1	0.992717	3.292281e-01,1.758482e-01,2.169590e-02,1.712307e-01,1.864598e-01,4.518565e-02,1.820695e-02,3.966558e-02,1.247908e-02	0.214002	0.395182	0.132514	-179704.913191	10	2	deam	HS	2	ngsrelateWithRealFreq	0.03549639717868093
childB	childC	98522	0.550697	0.44928	2.3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.224663	0.0	0.0	0.112331	0.0	0.0	2.3e-05	0.0	2.3e-05	0.224663	-0.0	-175837.83977	78	-1	0.992415	3.284770e-01,1.791608e-01,2.183753e-02,1.723129e-01,1.844554e-01,4.579871e-02,1.792048e-02,3.839302e-02,1.164416e-02	0.215543	0.387981	0.130428	-179543.47773	10	2	deam	HS	2	ngsrelateWithRealFreq	0.041403320068162
childA	childC	99408	0.534426	0.465497	7.7e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.232825	0.0	0.0	0.116413	0.0	0.0	7.7e-05	0.0	7.7e-05	0.232825	-0.0	-171453.999807	99	-1	0.99996	3.363957e-01,1.731722e-01,2.222386e-02,1.692989e-01,1.814911e-01,4.605947e-02,1.854519e-02,4.001789e-02,1.279564e-02	0.224634	0.386713	0.126278	-176091.484299	5	10	deam	HS	2	ngsrelateWithRealFreq	0.02814019908718959
childB	childC	99407	0.543079	0.456887	3.3e-05	0.0	1e-06	0.0	0.0	0.0	0.0	0.228477	0.0	1e-06	0.114239	0.0	0.0	3.3e-05	0.0	3.3e-05	0.228477	-0.0	-171703.566284	86	-1	0.99995	3.359810e-01,1.761809e-01,2.282147e-02,1.699548e-01,1.798593e-01,4.626574e-02,1.830916e-02,3.863384e-02,1.199385e-02	0.228682	0.380924	0.123424	-175879.784324	5	10	deam	HS	2	ngsrelateWithRealFreq	0.035187744547403615
