a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childA	childE	68575	0.555989	0.443999	1e-06	0.0	0.0	0.0	0.0	1e-06	1e-05	0.222011	1.1e-05	1.1e-05	0.11101	1e-05	1e-05	2e-06	1e-05	1.2e-05	0.222011	-0.0	-100497.703114	82	-1	0.697007	3.338078e-01,1.809720e-01,1.852118e-02,1.778356e-01,1.783560e-01,4.144554e-02,2.022978e-02,3.965062e-02,9.181449e-03	0.217267	0.372619	0.126603	-101630.095422	34	1	no_deam	A	2	ngsrelateWithRealFreq	0.045719726315162176
childA	childF	68770	0.576225	0.42377	2e-06	0.0	0.0	0.0	0.0	0.0	3e-06	0.21189	3e-06	3e-06	0.105946	3e-06	3e-06	2e-06	3e-06	5e-06	0.21189	0.0	-100375.334586	118	-1	0.698989	3.319145e-01,1.821912e-01,1.905265e-02,1.774262e-01,1.794572e-01,4.118997e-02,2.065308e-02,3.937747e-02,8.737680e-03	0.221255	0.373954	0.125198	-101846.787837	29	1	no_deam	A	2	ngsrelateWithRealFreq	0.06223949316685241
childB	childD	68549	0.572699	0.422159	0.005132	0.0	0.0	0.0	0.0	0.0	1.1e-05	0.216222	1.1e-05	1.1e-05	0.108116	1.1e-05	1.1e-05	0.005132	1.1e-05	0.005143	0.216222	-0.0	-100799.508487	182	-1	0.696742	3.332561e-01,1.765339e-01,2.452110e-02,1.684840e-01,1.838710e-01,4.430191e-02,2.005514e-02,3.837707e-02,1.059975e-02	0.242432	0.389332	0.119077	-102420.733587	30	1	no_deam	A	2	ngsrelateWithRealFreq	0.061564879885640404
childA	childE	99408	0.530394	0.469536	7e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.234838	0.0	0.0	0.117419	0.0	0.0	7e-05	0.0	7e-05	0.234838	-0.0	-170474.790906	98	-1	1.0	3.392884e-01,1.737318e-01,1.925072e-02,1.729716e-01,1.828657e-01,4.010705e-02,2.071258e-02,4.094226e-02,1.012993e-02	0.218539	0.390976	0.12973	-173734.915783	5	20	no_deam	A	2	ngsrelateWithRealFreq	0.02484522376634995
childA	childF	99408	0.543666	0.45632	1.2e-05	0.0	0.0	0.0	0.0	0.0	2e-06	0.228173	2e-06	2e-06	0.114088	2e-06	2e-06	1.2e-05	2e-06	1.3e-05	0.228173	-0.0	-170539.641405	82	-1	1.0	3.385501e-01,1.736420e-01,2.007884e-02,1.721192e-01,1.809514e-01,4.287383e-02,2.082311e-02,4.059027e-02,1.037133e-02	0.226038	0.384899	0.125324	-174405.324349	5	20	no_deam	A	2	ngsrelateWithRealFreq	0.0356588563099454
childB	childD	99408	0.542834	0.457081	8.5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.228625	0.0	0.0	0.114313	0.0	0.0	8.5e-05	0.0	8.5e-05	0.228625	-0.0	-171127.393959	90	-1	1.0	3.357071e-01,1.769948e-01,2.291865e-02,1.682865e-01,1.801870e-01,4.667632e-02,1.828821e-02,3.840735e-02,1.253417e-02	0.22869	0.382099	0.123648	-175400.89504	5	20	no_deam	A	2	ngsrelateWithRealFreq	0.035008567246699304
childA	childE	91920	0.533436	0.466494	6.3e-05	0.0	0.0	0.0	0.0	3e-06	4e-06	0.233314	7e-06	7e-06	0.116659	4e-06	4e-06	6.6e-05	4e-06	7e-05	0.233317	0.0	-147180.282512	66	-1	0.929264	3.365176e-01,1.758556e-01,1.906747e-02,1.738231e-01,1.838667e-01,3.973768e-02,1.986090e-02,4.182687e-02,9.444102e-03	0.211721	0.391063	0.132682	-149534.745247	18	2	no_deam	A	2	ngsrelateWithRealFreq	0.027328996206715438
childA	childF	92058	0.551011	0.448984	2e-06	0.0	0.0	0.0	0.0	0.0	3e-06	0.224497	4e-06	4e-06	0.11225	3e-06	4e-06	2e-06	3e-06	5e-06	0.224497	-0.0	-147657.841386	90	-1	0.930659	3.369840e-01,1.747697e-01,2.017587e-02,1.736114e-01,1.789797e-01,4.414756e-02,2.121117e-02,3.999555e-02,1.012502e-02	0.231239	0.377665	0.121705	-150401.084633	18	2	no_deam	A	2	ngsrelateWithRealFreq	0.041652348397179254
childB	childD	91903	0.553535	0.445777	0.000688	0.0	0.0	0.0	0.0	0.0	0.0	0.223576	0.0	0.0	0.111788	0.0	0.0	0.000688	0.0	0.000688	0.223576	-0.0	-147582.866807	102	-1	0.929092	3.334823e-01,1.781755e-01,2.271686e-02,1.688311e-01,1.826789e-01,4.609864e-02,1.868550e-02,3.741061e-02,1.192059e-02	0.22664	0.387099	0.12549	-150698.048157	18	2	no_deam	A	2	ngsrelateWithRealFreq	0.043994709144017166
childA	childE	99395	0.530321	0.46966	1.8e-05	0.0	0.0	0.0	0.0	0.0	1e-06	0.234849	1e-06	1e-06	0.117425	1e-06	1e-06	1.8e-05	1e-06	1.9e-05	0.234849	-0.0	-170429.257428	74	-1	1.0	3.392519e-01,1.736931e-01,1.928212e-02,1.728284e-01,1.828200e-01,4.016747e-02,2.073049e-02,4.096896e-02,1.025768e-02	0.218863	0.390916	0.129579	-173724.795718	6	10	no_deam	A	2	ngsrelateWithRealFreq	0.024764752943111177
