a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program
childE	founder1	99417	0.535072	0.464354	0.000574	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.232751	0.000000	0.000000	0.116375	0.000000	0.000000	0.000574	0.000000	0.000574	0.232751	-0.000000	-172238.706264	154	-1	0.999980	3.360099e-01,1.741091e-01,2.112758e-02,1.713989e-01,1.839503e-01,4.386545e-02,1.930731e-02,3.863538e-02,1.159611e-02	0.219814	0.392684	0.129513	-175970.634023	5	8	deam	GP	2	ngsrelateWithRealFreq
childF	founder0	99414	0.534276	0.465576	0.000142	0.000000	0.000000	0.000000	0.000000	0.000001	0.000005	0.232935	0.000007	0.000007	0.116470	0.000005	0.000005	0.000143	0.000005	0.000149	0.232936	0.000000	-172220.807039	130	-1	0.999950	3.339108e-01,1.738618e-01,2.247948e-02,1.672591e-01,1.829804e-01,4.648385e-02,1.817077e-02,4.066497e-02,1.418876e-02	0.222156	0.390217	0.128023	-177379.001812	6	8	deam	GP	2	ngsrelateWithRealFreq
childF	founder1	99415	0.541761	0.458125	0.000113	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.229175	0.000002	0.000002	0.114588	0.000000	0.000000	0.000114	0.000000	0.000114	0.229177	0.000000	-172198.053718	98	-1	0.999960	3.352174e-01,1.744830e-01,2.057637e-02,1.714187e-01,1.819148e-01,4.336104e-02,2.008672e-02,4.029741e-02,1.264453e-02	0.223528	0.386869	0.126783	-176487.161657	6	8	deam	GP	2	ngsrelateWithRealFreq
childG	founder1	99415	0.522438	0.476113	0.001445	0.000000	0.000000	0.000000	0.000000	0.000001	0.000002	0.239504	0.000003	0.000003	0.119753	0.000002	0.000002	0.001447	0.000002	0.001449	0.239505	-0.000000	-172639.824632	94	-1	0.999960	3.343798e-01,1.659250e-01,1.875209e-02,1.704246e-01,1.825416e-01,4.240426e-02,2.192136e-02,4.820412e-02,1.544718e-02	0.222817	0.390354	0.127764	-178012.282713	6	8	deam	GP	2	ngsrelateWithRealFreq
childG	founder2	99415	0.519311	0.480032	0.000634	0.000000	0.000000	0.000000	0.000000	0.000008	0.000015	0.240664	0.000023	0.000023	0.120340	0.000015	0.000015	0.000642	0.000015	0.000657	0.240673	-0.000000	-173433.428822	122	-1	0.999960	3.281774e-01,1.673249e-01,2.353615e-02,1.606939e-01,1.814225e-01,5.328364e-02,1.804040e-02,4.663390e-02,2.088731e-02	0.229170	0.386406	0.124269	-180903.623512	6	8	deam	GP	2	ngsrelateWithRealFreq
childH	founder4	99416	0.427357	0.466775	0.000199	0.000000	0.000000	0.105668	0.000000	0.000000	0.000000	0.233587	0.105668	0.000000	0.116794	0.000000	0.000000	0.000199	0.000000	0.000199	0.286422	0.052834	-175477.373852	114	-1	0.999970	3.476117e-01,1.865059e-01,2.589920e-02,1.399561e-01,1.618777e-01,4.698903e-02,2.851283e-02,4.703455e-02,1.561296e-02	0.336131	0.340869	0.071286	-180083.085354	6	8	deam	GP	2	ngsrelateWithRealFreq
childB	childI	99410	0.148929	0.505311	0.117425	0.121307	0.107007	0.000000	0.000013	0.000005	0.000003	0.450348	0.000021	0.228322	0.238553	0.000010	0.053507	0.117429	0.000003	0.117432	0.537762	-0.060653	-173249.818975	78	-1	0.999970	4.093010e-01,9.955560e-02,2.258006e-02,1.624228e-01,1.720574e-01,6.564561e-02,1.162604e-02,2.975338e-02,2.705815e-02	0.198806	0.439389	0.147750	-175364.514502	7	4	deam	GP	2	ngsrelateWithRealFreq
childD	founder0	99402	0.538642	0.456838	0.004519	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.232938	0.000001	0.000001	0.116469	0.000000	0.000000	0.004519	0.000000	0.004519	0.232938	0.000000	-176110.495508	66	-1	0.999889	3.270096e-01,1.696937e-01,2.115530e-02,1.698121e-01,1.864906e-01,4.480320e-02,1.937762e-02,4.509472e-02,1.656319e-02	0.217346	0.396842	0.131389	-181985.125806	9	4	deam	GP	2	ngsrelateWithRealFreq
childD	founder1	99403	0.538070	0.457256	0.004674	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.233302	0.000000	0.000000	0.116651	0.000000	0.000000	0.004674	0.000000	0.004674	0.233302	0.000000	-176170.511643	110	-1	0.999899	3.300852e-01,1.682350e-01,1.955400e-02,1.722267e-01,1.868070e-01,4.207616e-02,2.135486e-02,4.530285e-02,1.435825e-02	0.218990	0.398522	0.130998	-181216.716340	6	4	deam	GP	2	ngsrelateWithRealFreq
childE	founder0	99402	0.530639	0.466565	0.002793	0.000000	0.000000	0.000000	0.000000	0.000001	0.000003	0.236078	0.000004	0.000004	0.118041	0.000003	0.000003	0.002793	0.000003	0.002797	0.236079	0.000000	-175642.210873	126	-1	0.999889	3.303576e-01,1.751762e-01,2.270216e-02,1.691385e-01,1.874871e-01,4.608792e-02,1.676938e-02,3.854013e-02,1.374109e-02	0.210529	0.400259	0.135019	-180168.802950	7	4	deam	GP	2	ngsrelateWithRealFreq
childE	founder1	99403	0.534392	0.465200	0.000405	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.233008	0.000004	0.000004	0.116506	0.000004	0.000004	0.000405	0.000004	0.000409	0.233008	0.000000	-175771.175479	210	-1	0.999899	3.328193e-01,1.747837e-01,2.064438e-02,1.717861e-01,1.869091e-01,4.402023e-02,1.904357e-02,3.865516e-02,1.133833e-02	0.212338	0.398584	0.133904	-179442.713040	7	4	deam	GP	2	ngsrelateWithRealFreq
childF	founder0	99403	0.534444	0.465161	0.000391	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.232975	0.000004	0.000004	0.116490	0.000004	0.000004	0.000391	0.000004	0.000395	0.232976	0.000000	-175706.121133	214	-1	0.999899	3.302631e-01,1.746807e-01,2.193007e-02,1.678318e-01,1.862019e-01,4.649690e-02,1.807342e-02,4.044180e-02,1.408029e-02	0.214839	0.396634	0.132437	-180772.012016	7	4	deam	GP	2	ngsrelateWithRealFreq
childF	founder1	99404	0.542060	0.457617	0.000298	0.000008	0.000000	0.000014	0.000000	0.000000	0.000002	0.229108	0.000017	0.000010	0.114555	0.000002	0.000002	0.000298	0.000002	0.000300	0.229120	0.000003	-175862.694503	110	-1	0.999909	3.314805e-01,1.750953e-01,2.023599e-02,1.724646e-01,1.849411e-01,4.320319e-02,1.971433e-02,4.030792e-02,1.255704e-02	0.216016	0.392638	0.131144	-180086.939663	7	4	deam	GP	2	ngsrelateWithRealFreq
childG	founder1	99406	0.520560	0.478530	0.000905	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.240175	0.000005	0.000005	0.120090	0.000005	0.000005	0.000905	0.000005	0.000910	0.240175	-0.000000	-176415.765681	190	-1	0.999930	3.310432e-01,1.668580e-01,1.832653e-02,1.712145e-01,1.853843e-01,4.233519e-02,2.143777e-02,4.810741e-02,1.529316e-02	0.214497	0.395884	0.132438	-181695.861719	9	4	deam	GP	2	ngsrelateWithRealFreq
childG	founder2	99407	0.522603	0.475200	0.002197	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.239797	0.000000	0.000000	0.119898	0.000000	0.000000	0.002197	0.000000	0.002197	0.239797	-0.000000	-177115.188079	126	-1	0.999940	3.248989e-01,1.681187e-01,2.322553e-02,1.613683e-01,1.847031e-01,5.285371e-02,1.784502e-02,4.649436e-02,2.049239e-02	0.222360	0.393064	0.128485	-184447.372776	7	4	deam	GP	2	ngsrelateWithRealFreq
