a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childF	founder4	99406	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500023	0.0	1e-06	0.250011	0.0	0.0	4.6e-05	0.0	4.6e-05	0.500023	-0.0	-165224.999458	110	-165225.044126	0.99993	3.805333e-01,1.466351e-01,2.454303e-07,1.323269e-01,2.017560e-01,6.618764e-02,3.041575e-06,5.089797e-02,2.165978e-02	1.6e-05	0.509419	0.252326	-169797.55867	14	4	deam	PO	1	ngsrelateWithRealFreq	0.0
childG	founder5	99404	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500103	0.0	0.0	0.250051	0.0	0.0	0.000206	0.0	0.000206	0.500103	-0.0	-165948.787843	142	-165948.852849	0.999909	3.710148e-01,1.454789e-01,2.578914e-06,1.290906e-01,2.024928e-01,6.696833e-02,8.875581e-07,5.475860e-02,3.019251e-02	1.7e-05	0.510958	0.252702	-172298.5681	10	4	deam	PO	1	ngsrelateWithRealFreq	0.0
childA	childD	89628	0.031637	0.968342	1.7e-05	0.0	0.0	0.0	0.0	4e-06	0.0	0.484188	4e-06	4e-06	0.242094	0.0	0.0	2.1e-05	0.0	2.1e-05	0.484192	-0.0	-145110.48857	102	-1.0	0.904694	3.763848e-01,1.507285e-01,4.262097e-04,1.435275e-01,2.012727e-01,5.842690e-02,8.829708e-06,4.881250e-02,2.041205e-02	0.002161	0.500765	0.249244	-147945.915518	54	1	deam	PO	1	ngsrelateWithRealFreq	0.025840078831149086
childA	childH	89656	0.007369	0.790757	0.108914	0.0	0.092958	0.0	0.0	2e-06	0.0	0.574011	2e-06	0.092961	0.298625	0.0	0.046479	0.108916	0.0	0.108916	0.597253	-0.0	-142543.41381	98	-1.0	0.904976	4.185525e-01,1.095889e-01,1.332045e-05,1.371961e-01,2.046790e-01,6.126794e-02,2.793943e-04,4.059575e-02,2.782709e-02	0.00143	0.586571	0.26925	-144183.386599	43	1	deam	PO	1	ngsrelateWithRealFreq	0.13625857111389358
childA	founder0	89592	0.013218	0.986768	1.3e-05	0.0	0.0	0.0	0.0	1e-06	0.0	0.493397	1e-06	1e-06	0.246698	0.0	0.0	1.4e-05	0.0	1.4e-05	0.493398	-0.0	-144757.214666	98	-1.0	0.90433	3.798908e-01,1.475257e-01,2.597931e-05,1.363715e-01,2.049705e-01,6.189136e-02,1.788591e-05,5.016834e-02,1.913789e-02	0.000214	0.517601	0.254229	-147665.732621	46	1	deam	PO	1	ngsrelateWithRealFreq	0.010798171403838099
childA	founder1	89526	0.027944	0.972019	3.1e-05	0.0	0.0	0.0	0.0	5e-06	0.0	0.486041	5e-06	5e-06	0.24302	0.0	0.0	3.7e-05	0.0	3.7e-05	0.486046	-0.0	-144675.130912	98	-1.0	0.903664	3.790302e-01,1.481453e-01,2.262614e-05,1.451040e-01,2.033033e-01,5.561607e-02,1.914040e-04,4.975580e-02,1.883135e-02	0.001053	0.509743	0.251948	-147155.959175	54	1	deam	PO	1	ngsrelateWithRealFreq	0.022831297656214534
childB	childE	89601	0.027295	0.972653	4.8e-05	0.0	0.0	0.0	0.0	5e-06	0.0	0.486374	5e-06	5e-06	0.243187	0.0	0.0	5.3e-05	0.0	5.3e-05	0.486379	0.0	-144463.178476	110	-1.0	0.904421	3.827542e-01,1.498982e-01,2.219921e-04,1.438905e-01,2.059117e-01,5.111875e-02,1.083156e-04,5.030721e-02,1.578923e-02	0.001604	0.520577	0.254326	-146171.320687	47	1	deam	PO	1	ngsrelateWithRealFreq	0.022307530402683906
childB	childF	89587	0.025322	0.974646	2.7e-05	0.0	0.0	0.0	0.0	4e-06	0.0	0.48735	4e-06	4e-06	0.243675	0.0	0.0	3.1e-05	0.0	3.1e-05	0.487354	-0.0	-144484.5278	98	-1.0	0.90428	3.825411e-01,1.497770e-01,3.870856e-04,1.444171e-01,2.018877e-01,5.482677e-02,1.266051e-06,4.866327e-02,1.749873e-02	0.001924	0.507163	0.250931	-146522.519408	42	1	deam	PO	1	ngsrelateWithRealFreq	0.020688400365099918
childB	founder0	89653	0.023399	0.976595	3e-06	0.0	0.0	0.0	0.0	3e-06	0.0	0.4883	3e-06	3e-06	0.24415	0.0	0.0	6e-06	0.0	6e-06	0.488304	-0.0	-145054.873668	94	-1.0	0.904946	3.785222e-01,1.539298e-01,3.397304e-06,1.380970e-01,2.012032e-01,6.192402e-02,1.518848e-06,4.752387e-02,1.879493e-02	2.4e-05	0.501154	0.250278	-147662.456788	51	1	deam	PO	1	ngsrelateWithRealFreq	0.01910765322237838
childB	founder1	89602	0.016727	0.983253	1.3e-05	0.0	0.0	0.0	0.0	8e-06	0.0	0.491639	8e-06	8e-06	0.24582	0.0	0.0	2e-05	0.0	2e-05	0.491647	-0.0	-144463.294632	106	-1.0	0.904431	3.819909e-01,1.508132e-01,1.785823e-05,1.421333e-01,2.024999e-01,5.613260e-02,3.672580e-06,4.772330e-02,1.868530e-02	0.000106	0.510302	0.252502	-146670.855977	38	1	deam	PO	1	ngsrelateWithRealFreq	0.013665707775303829
