a	FID2	b	RT	EZ	J9	J8	J7	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childB	familyX	founder1	OT	0	0.474	0.4449	0.0811	0.3036	-1	0.782622	0.9992	3.4	1	deam	PO	1	plink	0.42402406378254837
childC	familyX	childG	OT	0	0.4733	0.442	0.0848	0.3058	-1	0.783362	1.0	4.5	1	deam	PO	1	plink	0.42527165043847764
childC	familyX	founder1	OT	0	0.4827	0.433	0.0843	0.3008	-1	0.782247	1.0	3.95	1	deam	PO	1	plink	0.43266414226279487
childC	familyX	founder2	OT	0	0.4978	0.4164	0.0858	0.294	-1	0.78087	1.0	4.0769	1	deam	PO	1	plink	0.445628933830229
childD	familyX	founder3	OT	0	0.4895	0.4238	0.0867	0.2986	-1	0.781928	0.9514	2.6	1	deam	PO	1	plink	0.43936832688152055
childE	familyX	founder4	OT	0	0.4728	0.4447	0.0825	0.3049	-1	0.783001	1.0	4.2105	1	deam	PO	1	plink	0.4237547167879079
childF	familyX	founder4	OT	0	0.4701	0.4464	0.0834	0.3066	-1	0.783453	1.0	3.95	1	deam	PO	1	plink	0.422067344547447
childG	familyX	founder5	OT	0	0.4782	0.4397	0.0821	0.302	-1	0.782343	0.9999	3.7143	1	deam	PO	1	plink	0.4279220100283072
childA	familyX	childD	OT	0	0.0	1.0	0.0	0.5	-1	0.801907	1.0		20	deam	PO	1	plink	0.0
childA	familyX	childH	OT	0	0.0	0.886	0.114	0.557	-1	0.82832	1.0		20	deam	PO	1	plink	0.09308061022576077
childA	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.804528	1.0		20	deam	PO	1	plink	0.0
childA	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.803579	1.0		20	deam	PO	1	plink	0.0
childB	familyX	childE	OT	0	0.0	1.0	0.0	0.5	-1	0.803914	1.0		20	deam	PO	1	plink	0.0
childB	familyX	childF	OT	0	0.0	1.0	0.0	0.5	-1	0.803809	1.0		20	deam	PO	1	plink	0.0
childB	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.804059	1.0		20	deam	PO	1	plink	0.0
childB	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.80299	1.0		20	deam	PO	1	plink	0.0
childC	familyX	childG	OT	0	0.0	1.0	0.0	0.5	-1	0.804558	1.0		20	deam	PO	1	plink	0.0
childC	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.804373	1.0		20	deam	PO	1	plink	0.0
childC	familyX	founder2	OT	0	0.0	1.0	0.0	0.5	-1	0.803215	1.0		20	deam	PO	1	plink	0.0
childD	familyX	founder3	OT	0	0.0	1.0	0.0	0.5	-1	0.803295	1.0		20	deam	PO	1	plink	0.0
childE	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.805097	1.0		20	deam	PO	1	plink	0.0
childF	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.804483	1.0		20	deam	PO	1	plink	0.0
childG	familyX	founder5	OT	0	0.0	1.0	0.0	0.5	-1	0.804054	1.0		20	deam	PO	1	plink	0.0
childA	familyX	childD	OT	0	0.1902	0.8011	0.0087	0.4093	-1	0.788441	1.0	10.0556	2	deam	PO	1	plink	0.15896848744326655
childA	familyX	childH	OT	0	0.1662	0.7045	0.1293	0.4815	-1	0.81426	1.0	7.6087	2	deam	PO	1	plink	0.20949238649650254
childA	familyX	founder0	OT	0	0.1845	0.7934	0.0221	0.4188	-1	0.791641	1.0	14.3077	2	deam	PO	1	plink	0.1604288211845573
childA	familyX	founder1	OT	0	0.1834	0.8012	0.0154	0.416	-1	0.790496	1.0	17.0909	2	deam	PO	1	plink	0.1564120199984643
childB	familyX	childE	OT	0	0.1813	0.8045	0.0142	0.4165	-1	0.790493	1.0	13.2143	2	deam	PO	1	plink	0.15415531129351331
childB	familyX	childF	OT	0	0.1779	0.8062	0.0159	0.419	-1	0.791208	1.0	11.4375	2	deam	PO	1	plink	0.1521618217556559
