IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program
childF	familyX	founder0	OT	0	0.6311	0.3541	0.0148	0.1919	-1	0.739518	0.9982	3.2340	4	no_deam	GP	2	plink
childF	familyX	founder1	OT	0	0.6412	0.3457	0.0132	0.1860	-1	0.738069	0.9989	3.3261	4	no_deam	GP	2	plink
childG	familyX	founder1	OT	0	0.6369	0.3426	0.0205	0.1918	-1	0.739963	1.0000	3.9750	4	no_deam	GP	2	plink
childG	familyX	founder2	OT	0	0.6558	0.3197	0.0245	0.1844	-1	0.738597	1.0000	4.1026	4	no_deam	GP	2	plink
childH	familyX	founder4	OT	0	0.8090	0.1171	0.0739	0.1324	-1	0.730793	0.5795	2.0615	4	no_deam	GP	2	plink
childB	familyX	childI	OT	0	0.7810	0.0000	0.2190	0.2190	-1	0.780503	0.0011	1.2907	1	no_deam	GP	2	plink
childD	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.746028	0.1039	1.6622	1	no_deam	GP	2	plink
childD	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.746928	0.6565	2.1270	1	no_deam	GP	2	plink
childE	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.747501	0.0004	1.2386	1	no_deam	GP	2	plink
childE	familyX	founder1	OT	0	0.9043	0.0000	0.0957	0.0957	-1	0.747037	0.1339	1.6986	1	no_deam	GP	2	plink
childF	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.745112	0.0792	1.6267	1	no_deam	GP	2	plink
childF	familyX	founder1	OT	0	0.9087	0.0000	0.0913	0.0913	-1	0.748028	0.8041	2.2833	1	no_deam	GP	2	plink
childG	familyX	founder1	OT	0	0.9051	0.0000	0.0949	0.0949	-1	0.750522	0.0592	1.5921	1	no_deam	GP	2	plink
childG	familyX	founder2	OT	0	0.9110	0.0000	0.0890	0.0890	-1	0.750749	0.4202	1.9403	1	no_deam	GP	2	plink
childH	familyX	founder4	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.745144	0.0151	1.4625	1	no_deam	GP	2	plink
childB	familyX	childI	OT	0	0.4333	0.4000	0.1667	0.3667	-1	0.789405	1.0000	4.3784	20	no_deam	GP	2	plink
childD	familyX	founder0	OT	0	0.5094	0.4906	0.0000	0.2453	-1	0.746220	1.0000	4.1026	20	no_deam	GP	2	plink
childD	familyX	founder1	OT	0	0.5166	0.4834	0.0000	0.2417	-1	0.747015	0.9989	3.3261	20	no_deam	GP	2	plink
childE	familyX	founder0	OT	0	0.4967	0.5033	0.0000	0.2517	-1	0.747675	1.0000	4.3784	20	no_deam	GP	2	plink
childE	familyX	founder1	OT	0	0.4992	0.5008	0.0000	0.2504	-1	0.746920	1.0000	5.0303	20	no_deam	GP	2	plink
