a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childE	founder4	99407	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	2e-06	6e-06	0.250001	0.0	2e-06	3e-06	0.0	3e-06	0.500003	0.0	-150931.123871	63	-150931.2352	0.99999	3.862507e-01,1.468338e-01,7.080478e-11,1.310441e-01,1.995472e-01,6.698692e-02,5.837109e-11,4.767886e-02,2.165835e-02	0.0	0.508344	0.252069	-163665.447871	5	20	deam	PO	1	ngsrelate	0.0
childF	founder4	99408	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500004	0.0	3e-06	0.250002	0.0	1e-06	8e-06	0.0	8e-06	0.500005	-0.0	-151247.631872	58	-151247.685836	1.0	3.863969e-01,1.450585e-01,2.810623e-10,1.308999e-01,1.977522e-01,6.657463e-02,1.020669e-10,5.124798e-02,2.206979e-02	0.0	0.502188	0.250546	-164135.113933	5	20	deam	PO	1	ngsrelate	0.0
childG	founder5	99408	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500003	0.0	6e-06	0.250002	0.0	3e-06	3e-06	0.0	3e-06	0.500004	-0.0	-156313.987358	134	-156314.00883	1.0	3.762459e-01,1.438433e-01,1.143591e-10,1.275886e-01,1.985231e-01,6.756823e-02,7.909001e-11,5.555001e-02,3.068086e-02	0.0	0.503163	0.250788	-167032.413525	5	20	deam	PO	1	ngsrelate	0.0
childA	childD	98560	0.050965	0.949035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.474518	0.0	0.0	0.237259	0.0	0.0	0.0	0.0	0.0	0.474518	-0.0	-158938.542339	122	-1.0	0.992798	3.749563e-01,1.517744e-01,1.473276e-05,1.415861e-01,2.010534e-01,6.031827e-02,3.133102e-05,4.975277e-02,2.051265e-02	0.000229	0.498301	0.249474	-171130.519414	27	2	deam	PO	1	ngsrelate	0.04161274824698157
childA	childH	98555	0.00478	0.943135	0.042336	0.0	0.009748	0.0	0.0	1e-06	0.0	0.521215	1e-06	0.009749	0.261826	0.0	0.004874	0.042337	0.0	0.042337	0.523653	-0.0	-154621.628983	114	-1.0	0.992747	4.171257e-01,1.095121e-01,2.361259e-06,1.379709e-01,2.037434e-01,6.137283e-02,1.255020e-04,4.155339e-02,2.859391e-02	0.000628	0.581232	0.26849	-167282.29983	23	2	deam	PO	1	ngsrelate	0.04102362539236794
childA	founder0	98574	0.031203	0.968797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.484399	0.0	0.0	0.242199	0.0	0.0	0.0	0.0	0.0	0.484399	-0.0	-158581.176962	97	-1.0	0.992939	3.784374e-01,1.482550e-01,9.790295e-07,1.370671e-01,2.034635e-01,6.249402e-02,1.972056e-05,5.027180e-02,1.999053e-02	0.000102	0.511075	0.252694	-170921.65232	26	2	deam	PO	1	ngsrelate	0.025477142814687825
childA	founder1	98564	0.053526	0.946473	0.0	0.0	0.0	0.0	0.0	0.0	1e-06	0.473237	1e-06	1e-06	0.236619	1e-06	1e-06	0.0	1e-06	1e-06	0.473237	0.0	-157695.251182	146	-1.0	0.992838	3.781523e-01,1.483166e-01,1.395901e-05,1.438561e-01,2.028398e-01,5.648005e-02,1.045622e-04,5.095511e-02,1.928160e-02	0.000584	0.507447	0.251591	-170318.203682	27	2	deam	PO	1	ngsrelate	0.04370420424093468
childB	childE	98527	0.068451	0.931548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.465774	0.0	0.0	0.232887	0.0	0.0	0.0	0.0	0.0	0.465774	-0.0	-156432.383013	134	-1.0	0.992465	3.807260e-01,1.487434e-01,2.590683e-05,1.457478e-01,2.038264e-01,5.266913e-02,1.883025e-04,5.183871e-02,1.623434e-02	0.001051	0.51057	0.252151	-169650.782697	26	2	deam	PO	1	ngsrelate	0.055890415710865234
childB	childF	98535	0.055333	0.944666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.472333	0.0	0.0	0.236167	0.0	0.0	0.0	0.0	0.0	0.472334	0.0	-156289.775892	146	-1.0	0.992546	3.813741e-01,1.482405e-01,2.252889e-05,1.438026e-01,2.031841e-01,5.525059e-02,4.317991e-06,5.037094e-02,1.775030e-02	0.000132	0.510909	0.252639	-169544.011193	22	2	deam	PO	1	ngsrelate	0.045179613562608814
childB	founder0	98546	0.038477	0.961523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.480761	0.0	0.0	0.240381	0.0	0.0	0.0	0.0	0.0	0.480761	-0.0	-158231.513737	94	-1.0	0.992657	3.792867e-01,1.503846e-01,5.151648e-05,1.364953e-01,2.030401e-01,6.255851e-02,3.190729e-05,4.851057e-02,1.964083e-02	0.000411	0.510109	0.252321	-170738.129636	26	2	deam	PO	1	ngsrelate	0.03141633894435611
childB	founder1	98536	0.052348	0.947652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.473826	0.0	0.0	0.236913	0.0	0.0	0.0	0.0	0.0	0.473826	0.0	-157310.62099	90	-1.0	0.992556	3.786561e-01,1.507413e-01,3.065821e-05,1.433615e-01,2.021754e-01,5.679112e-02,9.912477e-07,4.913718e-02,1.910575e-02	0.000157	0.505359	0.251264	-170082.971055	22	2	deam	PO	1	ngsrelate	0.042741963018404584
childC	childG	98577	0.020378	0.979622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.489811	0.0	0.0	0.244906	0.0	0.0	0.0	0.0	0.0	0.489811	-0.0	-160760.873818	102	-1.0	0.992969	3.753626e-01,1.432332e-01,9.056895e-07,1.398819e-01,2.026479e-01,5.960932e-02,2.832159e-06,5.387360e-02,2.538776e-02	1.8e-05	0.510961	0.252702	-171970.87052	23	2	deam	PO	1	ngsrelate	0.016638567326145205
childC	founder1	98577	0.030904	0.969096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.484548	0.0	0.0	0.242274	0.0	0.0	0.0	0.0	0.0	0.484548	0.0	-159357.442671	86	-1.0	0.992969	3.769334e-01,1.418851e-01,7.175888e-06,1.452876e-01,2.029635e-01,5.347854e-02,3.514026e-07,5.694060e-02,2.250372e-02	3.7e-05	0.510472	0.252575	-171213.757701	26	2	deam	PO	1	ngsrelate	0.025233010336990463
childC	founder2	98554	0.008605	0.991395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.495698	0.0	0.0	0.247849	0.0	0.0	0.0	0.0	0.0	0.495698	-0.0	-162860.71497	114	-1.0	0.992737	3.722250e-01,1.466803e-01,3.245392e-08,1.301868e-01,2.020754e-01,6.941006e-02,1.067954e-05,5.227391e-02,2.713776e-02	5.3e-05	0.507011	0.251717	-173225.461786	26	2	deam	PO	1	ngsrelate	0.007025953078883072
childD	founder3	98596	0.001004	0.998996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.499498	0.0	0.0	0.249749	0.0	0.0	0.0	0.0	0.0	0.499498	0.0	-163359.594728	134	-1.0	0.99316	3.697773e-01,1.472256e-01,1.567010e-09,1.272678e-01,2.044812e-01,7.033041e-02,1.173267e-06,5.345362e-02,2.746291e-02	6e-06	0.513412	0.253306	-173616.829679	22	2	deam	PO	1	ngsrelate	0.0008197625672514389
childE	founder4	98593	0.017202	0.982798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.491399	0.0	0.0	0.2457	0.0	0.0	0.0	0.0	0.0	0.491399	-0.0	-159512.329328	102	-1.0	0.99313	3.777339e-01,1.487400e-01,6.705112e-06,1.333158e-01,2.047509e-01,6.631971e-02,6.210725e-05,4.740621e-02,2.166466e-02	0.000336	0.517243	0.254089	-171453.530349	19	2	deam	PO	1	ngsrelate	0.014045374185118762
childF	founder4	98605	0.024969	0.975031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.487516	0.0	0.0	0.243758	0.0	0.0	0.0	0.0	0.0	0.487516	0.0	-159656.546176	162	-1.0	0.993251	3.780055e-01,1.471095e-01,1.011984e-04,1.332797e-01,2.023209e-01,6.607231e-02,6.198279e-06,5.150718e-02,2.159753e-02	0.000531	0.508247	0.251811	-171706.15635	26	2	deam	PO	1	ngsrelate	0.0203871031291844
childG	founder5	98544	0.005217	0.994783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.497392	0.0	0.0	0.248696	0.0	0.0	0.0	0.0	0.0	0.497392	0.0	-164050.775157	114	-1.0	0.992637	3.686506e-01,1.464040e-01,1.077949e-05,1.297097e-01,2.033925e-01,6.698985e-02,1.142625e-05,5.487944e-02,2.995176e-02	0.000109	0.51103	0.252679	-173984.883855	23	2	deam	PO	1	ngsrelate	0.004259662662699958
childA	childD	99410	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.499997	4e-06	0.0	0.249999	2e-06	0.0	1e-06	0.0	1e-06	0.499998	-0.0	-151210.738258	139	-151210.821079	0.99998	3.825607e-01,1.492704e-01,1.626484e-08,1.391001e-01,1.970021e-01,6.068126e-02,1.772538e-07,5.008522e-02,2.130007e-02	1e-06	0.49357	0.248382	-164379.568001	5	10	deam	PO	1	ngsrelate	0.0
childA	childH	99410	8.3e-05	0.925218	0.051563	2.5e-05	0.023111	1e-06	0.0	0.0	0.0	0.531505	1e-06	0.023136	0.268641	0.0	0.011556	0.051563	0.0	0.051563	0.537295	-1.2e-05	-146574.777316	118	-1.0	0.99998	4.253490e-01,1.065312e-01,7.288539e-08,1.354063e-01,1.993736e-01,6.195080e-02,9.824902e-06,4.208859e-02,2.929059e-02	5e-05	0.576246	0.267688	-160077.797802	5	10	deam	PO	1	ngsrelate	0.05244393000147873
