a	b	J9	J8	J7	cov	deamination	kinship	degree	program	RMSE
childB	founder1	0.005	0.995	0.0	8	no_deam	PO	1	lcmlkin	0.0040824829046386
childC	childG	0.002	0.997	0.001	8	no_deam	PO	1	lcmlkin	0.0021602468994692
childC	founder1	0.004	0.996	0.0	8	no_deam	PO	1	lcmlkin	0.0032659863237109
childC	founder2	0.001	0.997	0.001	8	no_deam	PO	1	lcmlkin	0.0019148542155126
childD	founder3	0.001	0.998	0.001	8	no_deam	PO	1	lcmlkin	0.001414213562373
childE	founder4	0.002	0.998	0.001	8	no_deam	PO	1	lcmlkin	0.0017320508075688
childF	founder4	0.002	0.997	0.001	8	no_deam	PO	1	lcmlkin	0.0021602468994692
childG	founder5	0.001	0.997	0.002	8	no_deam	PO	1	lcmlkin	0.0021602468994692
childA	childD	0.033	0.967	0.0	4	no_deam	PO	1	lcmlkin	0.0269443871706149
childA	childH	0.004	0.95	0.046	4	no_deam	PO	1	lcmlkin	0.039293765408777
childA	founder0	0.021	0.979	0.0	4	no_deam	PO	1	lcmlkin	0.0171464281994822
childA	founder1	0.032	0.968	0.0	4	no_deam	PO	1	lcmlkin	0.0261278905896872
childB	childE	0.043	0.957	0.0	4	no_deam	PO	1	lcmlkin	0.0351093529798922
childB	childF	0.042	0.958	0.0	4	no_deam	PO	1	lcmlkin	0.0342928563989645
childB	founder0	0.022	0.978	0.0	4	no_deam	PO	1	lcmlkin	0.0179629247804099
childB	founder1	0.035	0.965	0.0	4	no_deam	PO	1	lcmlkin	0.0285773803324704
childC	childG	0.016	0.983	0.0	4	no_deam	PO	1	lcmlkin	0.0134783777461038
childC	founder1	0.021	0.979	0.0	4	no_deam	PO	1	lcmlkin	0.0171464281994822
childC	founder2	0.01	0.99	0.0	4	no_deam	PO	1	lcmlkin	0.0081649658092772
childD	founder3	0.01	0.99	0.001	4	no_deam	PO	1	lcmlkin	0.0081853527718724
childE	founder4	0.019	0.981	0.0	4	no_deam	PO	1	lcmlkin	0.0155134350376268
childF	founder4	0.013	0.987	0.0	4	no_deam	PO	1	lcmlkin	0.0106144555520604
childG	founder5	0.007	0.992	0.001	4	no_deam	PO	1	lcmlkin	0.0061644140029689
childA	childD	0.23	0.764	0.006	1	no_deam	PO	1	lcmlkin	0.1902910052174475
