a	b	J9	J8	J7	cov	deamination	kinship	degree	program	RMSE
childA	childE	0.839	0.156	0.005	2	no_deam	A	2	lcmlkin	0.2788559962896022
childA	childF	0.848	0.148	0.004	2	no_deam	A	2	lcmlkin	0.2857878000661796
childB	childD	0.819	0.174	0.007	2	no_deam	A	2	lcmlkin	0.263366664557229
childA	childE	0.814	0.184	0.002	10	no_deam	A	2	lcmlkin	0.2572003110418026
childA	childF	0.812	0.187	0.001	10	no_deam	A	2	lcmlkin	0.2551561613339303
childB	childD	0.778	0.221	0.001	10	no_deam	A	2	lcmlkin	0.2273953971976272
childA	childE	0.81	0.187	0.003	8	deam	A	2	lcmlkin	0.2543475312769256
childA	childF	0.814	0.185	0.001	8	deam	A	2	lcmlkin	0.2567891482650049
childB	childD	0.784	0.214	0.002	8	deam	A	2	lcmlkin	0.2327058228751485
childA	childE	0.81	0.189	0.001	4	deam	A	2	lcmlkin	0.2535231744831229
childA	childF	0.822	0.175	0.003	4	deam	A	2	lcmlkin	0.2641451621110382
childB	childD	0.785	0.212	0.003	4	deam	A	2	lcmlkin	0.2339358886532804
childA	childE	0.849	0.145	0.005	1	deam	A	2	lcmlkin	0.2874317310249514
childA	childF	0.855	0.136	0.009	1	deam	A	2	lcmlkin	0.2935995004537076
childB	childD	0.82	0.173	0.007	1	deam	A	2	lcmlkin	0.2641830173699033
childA	childE	0.808	0.19	0.002	20	deam	A	2	lcmlkin	0.2523014070511696
childA	childF	0.812	0.188	0.0	20	deam	A	2	lcmlkin	0.2547469332494505
childB	childD	0.784	0.214	0.002	20	deam	A	2	lcmlkin	0.2327058228751485
childA	childE	0.834	0.159	0.007	2	deam	A	2	lcmlkin	0.275612046180859
childA	childF	0.824	0.176	0.0	2	deam	A	2	lcmlkin	0.2645448922205832
childB	childD	0.803	0.192	0.005	2	deam	A	2	lcmlkin	0.2494647603704111
childA	childE	0.812	0.182	0.005	10	deam	A	2	lcmlkin	0.2572242860488358
childA	childF	0.814	0.184	0.002	10	deam	A	2	lcmlkin	0.2572003110418026
childB	childD	0.779	0.219	0.002	10	deam	A	2	lcmlkin	0.2286234167067465
childA	childE	0.530852	0.46906	8.8e-05	8	no_deam	A	2	ngsrelateWithRealFreq	0.0252265551089851
childA	childF	0.547082	0.452889	2.6e-05	8	no_deam	A	2	ngsrelateWithRealFreq	0.0384541359760776
childB	childD	0.543532	0.456394	5.4e-05	8	no_deam	A	2	ngsrelateWithRealFreq	0.0355739660238588
childA	childE	0.532553	0.467367	7.4e-05	4	no_deam	A	2	ngsrelateWithRealFreq	0.0266121273983623
childA	childF	0.542528	0.457429	3.8e-05	4	no_deam	A	2	ngsrelateWithRealFreq	0.034741532632667
childB	childD	0.543153	0.456747	9e-05	4	no_deam	A	2	ngsrelateWithRealFreq	0.035275163680225
childA	childE	0.562559	0.436893	0.000547	1	no_deam	A	2	ngsrelateWithRealFreq	0.0513043894775746
childA	childF	0.556852	0.443081	6.3e-05	1	no_deam	A	2	ngsrelateWithRealFreq	0.046446838550469
childB	childD	0.562344	0.42995	0.007702	1	no_deam	A	2	ngsrelateWithRealFreq	0.054323406986921
childA	childE	0.530504	0.469416	8e-05	20	no_deam	A	2	ngsrelateWithRealFreq	0.0249391357241317
childA	childF	0.544004	0.455946	4.9e-05	20	no_deam	A	2	ngsrelateWithRealFreq	0.0359495448881716
childB	childD	0.542851	0.457058	9.2e-05	20	no_deam	A	2	ngsrelateWithRealFreq	0.0350249055625659
childA	childE	0.535963	0.463904	0.000126	2	no_deam	A	2	ngsrelateWithRealFreq	0.0294181036155176
childA	childF	0.551283	0.448706	5e-06	2	no_deam	A	2	ngsrelateWithRealFreq	0.0418768852311948
childB	childD	0.548975	0.450944	6.6e-05	2	no_deam	A	2	ngsrelateWithRealFreq	0.0400210199645136
childA	childE	0.530677	0.469247	7.6e-05	10	no_deam	A	2	ngsrelateWithRealFreq	0.0250787500618883
childA	childF	0.543882	0.456066	5.2e-05	10	no_deam	A	2	ngsrelateWithRealFreq	0.0358507507313305
childB	childD	0.542769	0.457131	0.0001	10	no_deam	A	2	ngsrelateWithRealFreq	0.0349616386057632
childA	childE	0.531288	0.468649	6.3e-05	8	deam	A	2	ngsrelateWithRealFreq	0.0255723034681404
childA	childF	0.544532	0.455451	1.8e-05	8	deam	A	2	ngsrelateWithRealFreq	0.0363671681098945
childB	childD	0.54237	0.457578	4.7e-05	8	deam	A	2	ngsrelateWithRealFreq	0.0346162061901647
childA	childE	0.532351	0.467613	3.4e-05	4	deam	A	2	ngsrelateWithRealFreq	0.0264291892043626
childA	childF	0.545389	0.454558	5.2e-05	4	deam	A	2	ngsrelateWithRealFreq	0.0370816189371499
childB	childD	0.545285	0.454662	5.2e-05	4	deam	A	2	ngsrelateWithRealFreq	0.0369967033351171
childA	childE	0.541014	0.458939	4.4e-05	1	deam	A	2	ngsrelateWithRealFreq	0.0335069935635333
childA	childF	0.559454	0.440505	3e-05	1	deam	A	2	ngsrelateWithRealFreq	0.0485607318760058
childB	childD	0.571473	0.424516	0.00401	1	deam	A	2	ngsrelateWithRealFreq	0.0600619238369867
childA	childE	0.530364	0.469607	2.4e-05	20	deam	A	2	ngsrelateWithRealFreq	0.0248039480795564
